Age,MonthlyIncome,JobLevel,YearsAtCompany,JobSatisfaction,OverTime,WorkLifeBalance,JobInvolvement,NumCompaniesWorked,TotalWorkingYears,Attrition
24,2800,1,1,2,Yes,2,2,3,2,Yes
29,4200,2,3,3,No,3,3,2,6,No
31,5100,2,5,4,No,3,4,1,8,No
35,6200,3,7,3,Yes,2,3,2,11,Yes
41,8500,4,12,4,No,4,4,1,18,No
26,3200,1,2,2,Yes,2,2,4,4,Yes
38,7100,3,9,3,No,3,3,2,14,No
45,9200,5,15,4,No,4,4,1,23,No
28,3900,2,4,2,Yes,2,2,3,7,Yes
33,5600,2,6,3,No,3,3,2,10,No
52,11000,5,20,4,No,4,4,1,30,No
30,4800,2,3,3,Yes,2,2,4,7,Yes
39,7600,4,10,4,No,3,4,2,16,No
27,3500,1,1,1,Yes,1,1,5,3,Yes
44,8800,4,11,3,No,4,3,1,20,No
36,6500,3,8,4,No,3,4,2,13,No
25,3000,1,2,2,Yes,2,2,4,4,Yes
48,9800,5,18,4,No,4,4,1,27,No
32,5300,2,5,3,Yes,3,3,3,9,Yes
40,8100,4,13,4,No,4,4,1,22,No
23,2600,1,1,1,Yes,1,1,5,2,Yes
37,6900,3,7,3,No,3,3,2,12,No
43,9000,5,16,4,No,4,4,1,25,No
34,5900,3,6,2,Yes,2,2,3,10,Yes
